year,1-gram,count-sum,count-mean
2024,even,620,1.7919075144508672
2023,general,617,1.5234567901234568
2024,you,616,2.223826714801444
2024,those,614,1.6115485564304461
2023,much,614,1.4018264840182648
2023,3,611,1.1772639691714837
2024,rights,605,2.0508474576271185
2023,10,603,1.2407407407407407
2023,washington,603,1.8440366972477065
2023,region,602,1.6053333333333333
2023,life,602,1.505
2023,resolution,601,3.2311827956989245
2023,get,600,1.3986013986013985
2023,continue,600,1.3333333333333333
2024,foreign,599,1.9322580645161291
2022,international,599,2.286259541984733
2024,says,598,1.9801324503311257
2024,most,598,1.582010582010582
2024,these,596,1.7633136094674555
2024,called,594,1.5348837209302326
2023,following,593,1.2643923240938166
2023,civilian,593,1.5012658227848101
2024,end,589,1.6732954545454546
2023,off,589,1.2916666666666667
2024,1,588,1.3900709219858156
2023,fire,588,1.5272727272727273
2023,inside,587,1.4638403990024937
2023,took,584,1.29490022172949
2024,southern,583,1.5382585751978892
2023,does,581,1.363849765258216
2023,leaders,581,1.6552706552706553
2021,all,581,2.2874015748031495
2023,own,580,1.4180929095354524
2022,against,578,2.1647940074906367
2023,re,578,1.6100278551532032
2023,know,578,1.4632911392405064
2024,statement,577,1.8259493670886076
2023,community,577,1.6920821114369502
2023,release,576,1.986206896551724
2021,forces,576,2.6666666666666665
2022,told,576,2.2412451361867705
2022,state,576,2.5714285714285716
2021,state,576,2.7169811320754715
2022,out,571,2.053956834532374
2024,africa,571,3.0698924731182795
2023,released,568,1.8933333333333333
2023,going,568,1.3990147783251232
2023,make,568,1.3148148148148149
2023,however,568,1.3302107728337236
2024,civilians,568,1.7694704049844237
